teX,teY,xy,xny,nxy,nxny
T1037,T1580,0,12,0,743
T1037,T1491,0,12,5,738
T1037,T1535,0,12,0,743
T1037,T1563,0,12,2,741
T1037,T1217,0,12,12,731
T1037,T1092,1,11,2,741
T1037,T1222,1,11,18,725
T1037,T1595,1,11,8,735
T1037,T1548,1,11,53,690
T1037,T1125,1,11,30,713
T1037,T1016,6,6,221,522
T1037,T1087,0,12,81,662
T1037,T1090,5,7,87,656
T1037,T1059,9,3,419,324
T1037,T1482,0,12,14,729
T1037,T1020,1,11,19,724
T1037,T1070,9,3,260,483
T1037,T1609,0,12,5,738
T1037,T1083,6,6,267,476
T1037,T1568,0,12,39,704
T1037,T1647,0,12,1,742
T1037,T1074,4,8,87,656
T1037,T1649,0,12,3,740
T1037,T1049,2,10,77,666
T1037,T1584,0,12,14,729
T1037,T1542,2,10,12,731
T1037,T1612,0,12,0,743
T1037,T1586,1,11,6,737
T1037,T1497,1,11,84,659
T1037,T1102,2,10,87,656
T1037,T1608,0,12,17,726
T1037,T1104,0,12,9,734
T1037,T1480,0,12,16,727
T1037,T1619,0,12,1,742
T1037,T1528,1,11,2,741
T1037,T1204,3,9,153,590
T1037,T1057,7,5,227,516
T1037,T1072,0,12,4,739
T1037,T1041,4,8,127,616
T1037,T1591,0,12,6,737
T1037,T1606,0,12,2,741
T1037,T1621,0,12,2,741
T1037,T1554,0,12,7,736
T1037,T1212,0,12,0,743
T1037,T1590,0,12,4,739
T1037,T1210,1,11,22,721
T1037,T1534,0,12,5,738
T1037,T1199,1,11,7,736
T1037,T1593,0,12,5,738
T1037,T1098,1,11,17,726
T1037,T1048,1,11,33,710
T1037,T1597,0,12,2,741
T1037,T1566,2,10,128,615
T1037,T1110,1,11,39,704
T1037,T1565,0,12,5,738
T1037,T1559,3,9,28,715
T1037,T1001,1,11,39,704
T1037,T1039,1,11,10,733
T1037,T1601,0,12,1,742
T1037,T1574,2,10,78,665
T1037,T1078,1,11,60,683
T1037,T1571,2,10,35,708
T1037,T1068,3,9,28,715
T1037,T1531,0,12,4,739
T1037,T1027,10,2,355,388
T1037,T1201,0,12,8,735
T1037,T1546,3,9,45,698
T1037,T1187,0,12,3,740
T1037,T1599,0,12,0,743
T1037,T1486,0,12,42,701
T1037,T1553,0,12,69,674
T1037,T1573,6,6,175,568
T1037,T1056,6,6,139,604
T1037,T1203,2,10,46,697
T1037,T1570,0,12,23,720
T1037,T1095,1,11,61,682
T1037,T1012,2,10,94,649
T1037,T1030,1,11,13,730
T1037,T1499,0,12,4,739
T1037,T1614,0,12,30,713
T1037,T1197,0,12,12,731
T1037,T1132,3,9,99,644
T1037,T1598,1,11,12,731
T1037,T1496,1,11,11,732
T1037,T1585,0,12,14,729
T1037,T1588,2,10,60,683
